date,demand_mu,was_interpolated
2019-01-02,85.8,False
2019-01-03,85.5,False
2019-01-04,83.5,False
2019-01-05,79.2,False
2019-01-06,76.6,False
2019-01-07,71.1,False
2019-01-08,69.0,False
2019-01-09,89.2,False
2019-01-10,92.8,False
2019-01-11,79.5,False
2019-01-12,92.6,False
2019-01-13,89.4,False
2019-01-14,82.2,False
2019-01-15,77.8,False
2019-01-16,111.8,False
2019-01-17,115.6,False
2019-01-18,117.9,False
2019-01-19,121.9,False
2019-01-20,121.7,False
2019-01-21,112.2,False
2019-01-22,108.0,False
2019-01-23,109.3,False
2019-01-24,111.9,False
2019-01-25,114.2,False
2019-01-26,112.7,False
2019-01-27,105.0,False
2019-01-28,100.5,False
2019-01-29,96.4,False
2019-01-30,41.8,False
2019-01-31,43.1,False
2019-02-01,43.0,True
2019-02-02,42.9,False
2019-02-03,44.9,False
2019-02-04,43.8,False
2019-02-05,43.5,False
2019-02-06,44.1,False
2019-02-07,60.3,False
2019-02-08,63.2,False
2019-02-09,68.4,False
2019-02-10,67.6,False
2019-02-11,69.0,False
2019-02-12,64.8,False
2019-02-13,61.2,False
2019-02-14,71.8,False
2019-02-15,71.7,False
2019-02-16,72.7,False
2019-02-17,71.6,False
2019-02-18,71.3,False
2019-02-19,69.2,False
2019-02-20,67.0,False
2019-02-21,111.8,False
2019-02-22,114.9,False
2019-02-23,121.6,False
2019-02-24,128.1,False
2019-02-25,131.6,False
2019-02-26,132.2,False
2019-02-27,132.7,False
2019-02-28,69.0,False
2019-03-01,70.55,True
2019-03-02,72.1,False
2019-03-03,71.8,False
2019-03-04,71.1,False
2019-03-05,73.0,False
2019-03-06,68.0,False
2019-03-07,67.3,False
2019-03-08,111.7,False
2019-03-09,121.6,False
2019-03-10,128.0,False
2019-03-11,132.7,False
2019-03-12,132.6,False
2019-03-13,129.7,False
2019-03-14,113.9,False
2019-03-15,57.8,False
2019-03-16,51.2,False
2019-03-17,58.4,False
2019-03-18,63.0,False
2019-03-19,66.1,False
2019-03-20,69.6,False
2019-03-21,68.3,False
2019-03-22,62.5,False
2019-03-23,63.5,False
2019-03-24,62.6,False
2019-03-25,62.4,False
2019-03-26,63.5,False
2019-03-27,60.4,False
2019-03-28,57.2,False
2019-03-29,61.7,False
2019-03-30,64.3,False
2019-03-31,65.9,False
2019-04-01,66.65,True
2019-04-02,67.4,False
2019-04-03,71.8,False
2019-04-04,73.9,False
2019-04-05,69.1,False
2019-04-06,61.4,False
2019-04-07,64.1,False
2019-04-08,66.1,False
2019-04-09,66.1,False
2019-04-10,65.4,False
2019-04-11,63.0,False
2019-04-12,60.2,False
2019-04-13,123.2,False
2019-04-14,126.1,False
2019-04-15,135.1,False
2019-04-16,135.2,False
2019-04-17,133.5,False
2019-04-18,136.7,False
2019-04-19,136.0,False
2019-04-20,63.9,False
2019-04-21,63.6,False
2019-04-22,63.8,False
2019-04-23,62.5,False
2019-04-24,63.8,False
2019-04-25,60.3,False
2019-04-26,57.9,False
2019-04-27,74.2,False
2019-04-28,76.9,False
2019-04-29,76.9,False
2019-04-30,79.2,False
2019-05-01,80.6,True
2019-05-02,82.0,False
2019-05-03,80.4,False
2019-05-04,78.0,False
2019-05-05,98.5,False
2019-05-06,99.3,False
2019-05-07,102.4,False
2019-05-08,102.6,False
2019-05-09,100.9,False
2019-05-10,94.6,False
2019-05-11,84.7,False
2019-05-12,116.6,False
2019-05-13,129.0,False
2019-05-14,130.4,False
